"General health and mental health by housing situation, First Nations people living off reserve, Métis and Inuit 1 2 3 4 5"
"Frequency: Occasional"
"Table: 41-10-0080-01"
"Release date: 2024-09-27"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

,,"Geography","Canada",,,,"Atlantic provinces 13",,,,"Quebec",,,,"Ontario",,,,"Prairie provinces",,,,"Manitoba",,,,"Saskatchewan",,,,"Alberta",,,,"British Columbia",,,,"Territories",,,,"Yukon 14",,,,"Northwest Territories 14",,,,"Nunavut",,,
,,"Indigenous identity 3 6","Total, Indigenous identity",,,,"Total, Indigenous identity",,,,"Total, Indigenous identity",,,,"Total, Indigenous identity",,,,"Total, Indigenous identity",,,,"Total, Indigenous identity",,,,"Total, Indigenous identity",,,,"Total, Indigenous identity",,,,"Total, Indigenous identity",,,,"Total, Indigenous identity",,,,"Total, Indigenous identity",,,,"Total, Indigenous identity",,,,"Total, Indigenous identity",,,
,,"Age group 7","Total, 15 years and over",,,,"Total, 15 years and over",,,,"Total, 15 years and over",,,,"Total, 15 years and over",,,,"Total, 15 years and over",,,,"Total, 15 years and over",,,,"Total, 15 years and over",,,,"Total, 15 years and over",,,,"Total, 15 years and over",,,,"Total, 15 years and over",,,,"Total, 15 years and over",,,,"Total, 15 years and over",,,,"Total, 15 years and over",,,
,,"Gender 8","Total, gender",,,,"Total, gender",,,,"Total, gender",,,,"Total, gender",,,,"Total, gender",,,,"Total, gender",,,,"Total, gender",,,,"Total, gender",,,,"Total, gender",,,,"Total, gender",,,,"Total, gender",,,,"Total, gender",,,,"Total, gender",,,
,,"Statistics 11 12","Number of persons","Percent 15 16","Low 95% confidence interval","High 95% confidence interval","Number of persons","Percent 15 16","Low 95% confidence interval","High 95% confidence interval","Number of persons","Percent 15 16","Low 95% confidence interval","High 95% confidence interval","Number of persons","Percent 15 16","Low 95% confidence interval","High 95% confidence interval","Number of persons","Percent 15 16","Low 95% confidence interval","High 95% confidence interval","Number of persons","Percent 15 16","Low 95% confidence interval","High 95% confidence interval","Number of persons","Percent 15 16","Low 95% confidence interval","High 95% confidence interval","Number of persons","Percent 15 16","Low 95% confidence interval","High 95% confidence interval","Number of persons","Percent 15 16","Low 95% confidence interval","High 95% confidence interval","Number of persons","Percent 15 16","Low 95% confidence interval","High 95% confidence interval","Number of persons","Percent 15 16","Low 95% confidence interval","High 95% confidence interval","Number of persons","Percent 15 16","Low 95% confidence interval","High 95% confidence interval","Number of persons","Percent 15 16","Low 95% confidence interval","High 95% confidence interval"
"Overall health","Housing - Needs repairs 9","Persons per room (crowding) 10","2022","2022","2022","2022","2022","2022","2022","2022","2022","2022","2022","2022","2022","2022","2022","2022","2022","2022","2022","2022","2022","2022","2022","2022","2022","2022","2022","2022","2022","2022","2022","2022","2022","2022","2022","2022","2022","2022","2022","2022","2022","2022","2022","2022","2022","2022","2022","2022","2022","2022","2022","2022"
,,,"Persons","Percent",,,"Persons","Percent",,,"Persons","Percent",,,"Persons","Percent",,,"Persons","Percent",,,"Persons","Percent",,,"Persons","Percent",,,"Persons","Percent",,,"Persons","Percent",,,"Persons","Percent",,,"Persons","Percent",,,"Persons","Percent",,,"Persons","Percent",,
"Total, self-perceived general health 4 15","Total, housing - Needs repairs","Total, Persons per room (crowding)","1,077,810","100.0","100.0","100.0","89,460","100.0","100.0","100.0","131,640","100.0","100.0","100.0","269,780","100.0","100.0","100.0","382,800","100.0","100.0","100.0","121,880","100.0","100.0","100.0","89,280","100.0","100.0","100.0","171,640","100.0","100.0","100.0","173,090","100.0","100.0","100.0","31,040","100.0","100.0","100.0","4,680","100.0","100.0","100.0","7,300","100.0","100.0","100.0","19,060","100.0","100.0","100.0"
,,"One person or fewer per room","999,250","92.7","92.2","93.2","86,450","96.6","95.3","97.6","126,480","96.1","95.2","96.8","255,910","94.9","93.5","95.9","349,760","91.4","90.3","92.4","110,660","90.8","88.7","92.5","79,860","89.4","87.0","91.5","159,240","92.8","91.1","94.1","159,970","92.4","90.9","93.7","20,670","66.6","65.1","68.1","4,440","94.8","91.9","96.7","6,230","85.3","82.8","87.5","10,010","52.5","50.7","54.3"
,,"More than one but less than 1.5 persons per room","37,800","3.5","3.1","3.9","F","1.5","1.0","2.5","2,480","1.9","1.4","2.6","8,120E","3.0","2.2","4.2","15,770","4.1","3.4","5.0","5,400E","4.4","3.3","6.0","4,570E","5.1","3.8","6.9","5,800E","3.4","2.4","4.7","6,330E","3.7","2.8","4.8","3,710","11.9","11.1","12.9","F","2.7","1.4","5.0","540E","7.4","5.7","9.5","3,040","16.0","14.8","17.2"
